,0,1,2,3
650,0,0,0,2
651,0,0,0,0
652,0,0,0,0
653,0,2,1,4
654,1,0,1,0
655,3,0,1,0
656,0,0,0,0
657,0,2,1,1
658,3,2,1,0
659,0,2,0,0
660,1,0,1,1
661,2,0,0,1
662,0,2,0,1
663,1,0,0,0
664,0,0,0,0
665,0,0,0,0
666,0,0,0,1
667,0,1,1,0
668,0,1,0,0
669,2,0,0,2
670,0,0,2,2
671,0,0,0,3
672,1,0,0,0
673,0,2,0,0
674,4,0,0,0
675,0,1,0,1
676,1,1,0,1
677,1,0,0,0
678,0,0,0,0
679,0,0,0,0
680,1,0,0,1
681,0,0,0,3
682,3,0,1,0
683,0,1,0,0
684,2,1,0,0
685,0,1,0,0
686,0,0,2,1
687,0,2,0,1
688,1,0,0,0
689,0,0,0,1
690,0,0,0,0
691,0,0,0,0
692,0,0,2,0
693,0,0,1,0
694,0,0,1,1
695,2,0,2,1
696,1,1,1,2
697,2,3,0,3
698,3,0,0,0
699,6,0,0,0
700,1,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,2,0
704,1,0,2,0
705,0,0,0,0
706,0,0,0,1
707,2,0,0,0
708,0,2,0,0
709,0,1,0,0
710,1,0,0,1
711,0,1,0,0
712,0,0,0,0
713,0,1,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,1,1,0
718,0,1,0,2
719,0,0,0,0
720,0,0,0,0
721,0,3,0,0
722,2,0,0,0
723,1,0,0,1
724,0,1,0,1
725,0,0,2,0
726,0,0,2,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,0,2,0,0
735,0,0,2,0
736,2,1,1,1
737,0,1,0,1
738,1,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,2,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
