simTime,e2Detector_Ai_1_0/JamLengthVehicle,e2Detector_Ai_1_0/LastStepVehicleNumber,e2Detector_Ai_1_0/LastStepHaltingNumber,e2Detector_Ai_1_0/LastStepMeanSpeed,e2Detector_Ai_1_0/LastStepOccupancy,e2Detector_Bi_1_1/JamLengthVehicle,e2Detector_Bi_1_1/LastStepVehicleNumber,e2Detector_Bi_1_1/LastStepHaltingNumber,e2Detector_Bi_1_1/LastStepMeanSpeed,e2Detector_Bi_1_1/LastStepOccupancy,e2Detector_Ci_1_2/JamLengthVehicle,e2Detector_Ci_1_2/LastStepVehicleNumber,e2Detector_Ci_1_2/LastStepHaltingNumber,e2Detector_Ci_1_2/LastStepMeanSpeed,e2Detector_Ci_1_2/LastStepOccupancy,e2Detector_Di_1_3/JamLengthVehicle,e2Detector_Di_1_3/LastStepVehicleNumber,e2Detector_Di_1_3/LastStepHaltingNumber,e2Detector_Di_1_3/LastStepMeanSpeed,e2Detector_Di_1_3/LastStepOccupancy
32.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
32.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
32.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
32.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
33.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
33.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
33.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
33.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
34.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
34.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
34.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
34.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
35.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
35.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
35.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
35.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
36.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
36.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
36.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
36.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
37.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
37.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
37.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
37.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
